wdr,dissim,leven
0.001138953,0.009245682,0.000570885
0.000788695,0.009692649,0.002332134
0.000451344,0.009548895,0.001300313
0.001804103,0.009448557,0.000907368
0.000827898,0.009519643,0.001261614
0.000623279,0.009699334,0.002610859
0.001277287,0.009543718,0.001451601
0.00078713,0.00954735,0.001718833
0.000673571,0.009578156,0.001410782
0.000735485,0.009571394,0.00144459
0.000994123,0.009526626,0.001409461
0.001064623,0.009618251,0.001823962
0.000577532,0.009639635,0.001612352
0.001788039,0.009266974,0.000481161
0.000904583,0.0094428,0.001078735
0.002372599,0.008589445,0.000748982
0.001100637,0.0095278,0.00117641
0.000552908,0.009755589,0.004774614
0.000642997,0.009705451,0.003866291
0.000697308,0.008483513,0.001885341
0.000679197,0.009520741,0.001020853
0.001237696,0.009422373,0.001108579
0.000689218,0.009716094,0.002834669
0.000952728,0.009582809,0.0018914
0.000922228,0.00956647,0.001237749
0.000802003,0.009507629,0.001307772
0.082879526,0.001210761,3.0242E-05
0.000754898,0.009411641,0.000816264
0.000663251,0.009794956,0.004201427
0.00133429,0.009477319,0.000935573
0.00077565,0.009709242,0.00273838
0.001067907,0.009389501,0.000762943
0.001293123,0.009311298,0.000551776
0.001800832,0.009533126,0.001141614
0.001239076,0.009425516,0.000882879
0.00116598,0.009575313,0.001573648
0.000969394,0.009475129,0.00089133
0.001234429,0.009315544,0.000643015
0.001045025,0.009428485,0.000680147
0.000847709,0.009555468,0.001397915
0.00077124,0.009754151,0.004417598
0.000744747,0.009445759,0.000846037
0.000973239,0.009303523,0.000516409
0.000905311,0.009657775,0.003388539
0.001083631,0.009547622,0.001207931
0.0015885,0.009478866,0.001237467
0.000669606,0.009502859,0.001101915
0.000565633,0.009568071,0.001912956
0.001631491,0.00969349,0.003598561
0.001210386,0.009707295,0.002330282
0.00110598,0.009680329,0.00302006
0.0009158,0.009627239,0.001758408
0.001007901,0.009404586,0.000734267
0.001962352,0.009134638,0.000396039
0.000753905,0.00946554,0.001437626
0.000630532,0.009699395,0.002500392
0.000691887,0.0096963,0.002080513
0.000681661,0.009745289,0.002938109
0.001328819,0.00939581,0.000743781
0.000589688,0.009775653,0.004962585
0.001636417,0.009578458,0.002058607
0.000809853,0.009607674,0.001858365
0.001208305,0.009608895,0.001613287
0.000739308,0.009629809,0.002092265
0.001151929,0.009306534,0.000818536
0.000781992,0.009601219,0.002344421
0.000661596,0.009451449,0.001000158
0.000751549,0.009533792,0.001394502
0.000967481,0.009649068,0.002016226
0.000640441,0.009505109,0.001010742
0.001128167,0.009384838,0.000752299
0.000954597,0.009454748,0.000905898
0.001396049,0.009458673,0.001045098
0.000915605,0.009460202,0.000842492
0.000906992,0.009504725,0.001029197
0.001840622,0.009264607,0.000575973
0.001281826,0.009544095,0.001216806
0.000603168,0.009736715,0.003517016
0.001249737,0.009244784,0.000523224
0.000783655,0.009378838,0.000800594
0.000718213,0.009518227,0.001325207
0.000543317,0.009615949,0.002439507
0.00104872,0.009484572,0.001241352
0.001094346,0.009513485,0.000934934
0.001053478,0.009340042,0.000585175
0.000932783,0.009576,0.001672568
0.001350907,0.009365176,0.000660546
0.001094002,0.009425101,0.000762459
0.000789307,0.009538409,0.001727445
0.000506566,0.009693268,0.002800994
0.000691703,0.009677547,0.002662443
0.001049081,0.009510465,0.00122061
0.00077769,0.009556689,0.00168962
0.002180588,0.009477993,0.000930382
0.000848079,0.009604404,0.002143331
0.000718599,0.009607711,0.001958871
0.000692113,0.009734062,0.003516398
0.000573832,0.009632291,0.002783828
0.000752083,0.009552676,0.001480382
0.001575829,0.009524837,0.001545319
0.000850309,0.009511883,0.001066364
0.00113899,0.009469817,0.001345279
0.001253441,0.00945442,0.001322731
0.000856683,0.009697885,0.002709614
0.001491726,0.00965151,0.001913743
0.001247499,0.009388571,0.000785148
0.00099904,0.009532556,0.001227901
0.001155374,0.009293009,0.000667756
0.000847735,0.009383744,0.00071755
0.001329867,0.009250502,0.000482867
0.001294979,0.00948466,0.001329271
0.001408618,0.00927488,0.000447816
0.000753983,0.009312199,0.00046636
0.000801147,0.009732936,0.002734572
0.001066376,0.009717533,0.002957713
0.000971317,0.00949358,0.001080764
0.000783795,0.009633361,0.001667642
0.001391122,0.009407539,0.000746706
0.000866636,0.009257249,0.000768736
0.002014197,0.009228568,0.000422568
0.000988018,0.009524607,0.001222793
0.001948549,0.009453405,0.001197666
0.000818292,0.009516531,0.001065875
0.002019601,0.009216248,0.000579342
0.000943479,0.009565518,0.001432137
0.001096213,0.009556491,0.00119796
0.000904499,0.009617398,0.001872594
0.000863201,0.009646123,0.001771253
0.00131672,0.009461221,0.001137667
0.001929944,0.009425979,0.000805416
0.000914406,0.009703645,0.003755398
0.001131701,0.009251772,0.000659916
0.001354424,0.009189199,0.000353661
0.001145316,0.009545292,0.001688145
0.000586616,0.009591063,0.002113315
0.001046195,0.009674702,0.002888904
0.000632957,0.009762608,0.004950099
0.00106644,0.009454487,0.001063001
0.000704698,0.009587613,0.002228898
0.000752148,0.009598721,0.001391259
